Knowledge preparation completed in 9.73 seconds
[57]: [Cumulative]: Semantic Similarity: 0.45423,	 cache time: 0.0015849245005640491,	 generate time: 0.002058234708062534
[58]: Semantic Similarity: 0.77849,	cache time: 0.002003908157348633,	generate time: 0.0019958019256591797
[58]: [Cumulative]: Semantic Similarity: 0.45972,	 cache time: 0.001592025918475652,	 generate time: 0.0020571765253099344
[59]: Semantic Similarity: 0.23295,	cache time: 0.000997781753540039,	generate time: 0.003000974655151367
[59]: [Cumulative]: Semantic Similarity: 0.45594,	 cache time: 0.0015821218490600585,	 generate time: 0.002072906494140625
[60]: Semantic Similarity: 0.56915,	cache time: 0.001003265380859375,	generate time: 0.0019979476928710938
[60]: [Cumulative]: Semantic Similarity: 0.4578,	 cache time: 0.0015726323987616867,	 generate time: 0.0020716776613329277
[61]: Semantic Similarity: 0.62464,	cache time: 0.0019989013671875,	generate time: 0.002008676528930664
[61]: [Cumulative]: Semantic Similarity: 0.46049,	 cache time: 0.0015795077047040386,	 generate time: 0.002070661514036117
[62]: Semantic Similarity: 0.97115,	cache time: 0.0009906291961669922,	generate time: 0.002001047134399414
[62]: [Cumulative]: Semantic Similarity: 0.46859,	 cache time: 0.0015701604267907522,	 generate time: 0.0020695565238831536
[63]: Semantic Similarity: 0.45274,	cache time: 0.001987934112548828,	generate time: 0.0020074844360351562
[63]: [Cumulative]: Semantic Similarity: 0.46835,	 cache time: 0.001576688140630722,	 generate time: 0.0020685866475105286
[64]: Semantic Similarity: 1.0,	cache time: 0.0010001659393310547,	generate time: 0.00200653076171875
[64]: [Cumulative]: Semantic Similarity: 0.47653,	 cache time: 0.001567818568303035,	 generate time: 0.0020676319415752703
[65]: Semantic Similarity: 0.27013,	cache time: 0.0009999275207519531,	generate time: 0.002009153366088867
[65]: [Cumulative]: Semantic Similarity: 0.4734,	 cache time: 0.0015592141584916549,	 generate time: 0.002066745902552749
[66]: Semantic Similarity: 0.20317,	cache time: 0.001984119415283203,	generate time: 0.0009996891021728516
[66]: [Cumulative]: Semantic Similarity: 0.46937,	 cache time: 0.0015655560279960064,	 generate time: 0.0020508196816515565
[67]: Semantic Similarity: 0.22724,	cache time: 0.0009984970092773438,	generate time: 0.0019996166229248047
[67]: [Cumulative]: Semantic Similarity: 0.4658,	 cache time: 0.0015572169247795554,	 generate time: 0.0020500666954938102
[68]: Semantic Similarity: 0.4667,	cache time: 0.002007722854614258,	generate time: 0.001999378204345703
[68]: [Cumulative]: Semantic Similarity: 0.46582,	 cache time: 0.0015637459962264352,	 generate time: 0.0020493320796800695
[69]: Semantic Similarity: 0.24952,	cache time: 0.0010123252868652344,	generate time: 0.001985788345336914
[69]: [Cumulative]: Semantic Similarity: 0.46273,	 cache time: 0.0015558685575212752,	 generate time: 0.002048424312046596
[70]: Semantic Similarity: 0.98925,	cache time: 0.002013683319091797,	generate time: 0.001984119415283203
[70]: [Cumulative]: Semantic Similarity: 0.47014,	 cache time: 0.0015623166527546628,	 generate time: 0.0020475186092752807
[71]: Semantic Similarity: 0.59866,	cache time: 0.0010075569152832031,	generate time: 0.0019991397857666016
[71]: [Cumulative]: Semantic Similarity: 0.47193,	 cache time: 0.0015546116564008924,	 generate time: 0.0020468466811709935
[72]: Semantic Similarity: 0.71162,	cache time: 0.0019996166229248047,	generate time: 0.0020170211791992188
[72]: [Cumulative]: Semantic Similarity: 0.47521,	 cache time: 0.0015607076148464254,	 generate time: 0.002046438112650832
[73]: Semantic Similarity: 0.49922,	cache time: 0.002017498016357422,	generate time: 0.0010197162628173828
[73]: [Cumulative]: Semantic Similarity: 0.47554,	 cache time: 0.0015668804581100877,	 generate time: 0.0020325634930584884
[74]: Semantic Similarity: 1.0,	cache time: 0.0010023117065429688,	generate time: 0.0020051002502441406
[74]: [Cumulative]: Semantic Similarity: 0.48253,	 cache time: 0.0015593528747558593,	 generate time: 0.0020321973164876303
[75]: Semantic Similarity: 0.55517,	cache time: 0.001999378204345703,	generate time: 0.00101470947265625
[75]: [Cumulative]: Semantic Similarity: 0.48349,	 cache time: 0.0015651426817241468,	 generate time: 0.0020188093185424805
[76]: Semantic Similarity: 0.98366,	cache time: 0.0009987354278564453,	generate time: 0.0020074844360351562
[76]: [Cumulative]: Semantic Similarity: 0.48998,	 cache time: 0.0015577867433622286,	 generate time: 0.0020186622421462814
[77]: Semantic Similarity: 0.40201,	cache time: 0.0020020008087158203,	generate time: 0.001531839370727539
[77]: [Cumulative]: Semantic Similarity: 0.48885,	 cache time: 0.0015634817954821463,	 generate time: 0.0020124209232819388
[78]: Semantic Similarity: 0.90834,	cache time: 0.0020072460174560547,	generate time: 0.0020017623901367188
[78]: [Cumulative]: Semantic Similarity: 0.49416,	 cache time: 0.0015690990641147276,	 generate time: 0.00201228600514086
[79]: Semantic Similarity: 0.56043,	cache time: 0.0010166168212890625,	generate time: 0.0019927024841308594
[79]: [Cumulative]: Semantic Similarity: 0.49499,	 cache time: 0.0015621930360794067,	 generate time: 0.0020120412111282347

Final Results:
Prepare time: 9.730558633804321
Average Semantic Similarity: 0.4949916430748999
Average cache time: 0.0015621930360794067
Average generate time: 0.0020120412111282347
