Retriever BM25 prepared in 0.23427081108093262 seconds
[62]: [Cumulative]: Semantic Similarity: 0.46721,	 retrieve time: 0.0007504092322455512,	 generate time: 1.9295771349044073
[63]: Semantic Similarity: 0.45274,	retrieve time: 0.0010001659393310547,	generate time: 2.8698039054870605
[63]: [Cumulative]: Semantic Similarity: 0.46698,	 retrieve time: 0.0007543116807937622,	 generate time: 1.9442681781947613
[64]: Semantic Similarity: 0.92227,	retrieve time: 0.0009989738464355469,	generate time: 2.8914663791656494
[64]: [Cumulative]: Semantic Similarity: 0.47398,	 retrieve time: 0.0007580757141113281,	 generate time: 1.958840458209698
[65]: Semantic Similarity: 0.21612,	retrieve time: 0.0020079612731933594,	generate time: 3.8437628746032715
[65]: [Cumulative]: Semantic Similarity: 0.47008,	 retrieve time: 0.0007770133740974195,	 generate time: 1.9873998887611157
[66]: Semantic Similarity: 0.59478,	retrieve time: 0.001020669937133789,	generate time: 2.957667350769043
[66]: [Cumulative]: Semantic Similarity: 0.47194,	 retrieve time: 0.0007806500392173653,	 generate time: 2.0018814926716817
[67]: Semantic Similarity: 0.22724,	retrieve time: 0.0009996891021728516,	generate time: 2.8701364994049072
[67]: [Cumulative]: Semantic Similarity: 0.46834,	 retrieve time: 0.0007838712019078872,	 generate time: 2.014649948653053
[68]: Semantic Similarity: 0.46257,	retrieve time: 0.0009920597076416016,	generate time: 2.990553140640259
[68]: [Cumulative]: Semantic Similarity: 0.46826,	 retrieve time: 0.0007868884266286657,	 generate time: 2.0287934731746065
[69]: Semantic Similarity: 0.24235,	retrieve time: 0.0,	generate time: 2.8215086460113525
[69]: [Cumulative]: Semantic Similarity: 0.46503,	 retrieve time: 0.0007756471633911133,	 generate time: 2.040117975643703
[70]: Semantic Similarity: 0.98925,	retrieve time: 0.0010082721710205078,	generate time: 2.9309515953063965
[70]: [Cumulative]: Semantic Similarity: 0.47241,	 retrieve time: 0.0007789235719492738,	 generate time: 2.0526649280333182
[71]: Semantic Similarity: 0.53982,	retrieve time: 0.0,	generate time: 2.8094894886016846
[71]: [Cumulative]: Semantic Similarity: 0.47335,	 retrieve time: 0.0007681051890055338,	 generate time: 2.0631763802634344
[72]: Semantic Similarity: 0.71162,	retrieve time: 0.0010037422180175781,	generate time: 2.9419994354248047
[72]: [Cumulative]: Semantic Similarity: 0.47661,	 retrieve time: 0.0007713330935125482,	 generate time: 2.0752150522519464
[73]: Semantic Similarity: 0.4654,	retrieve time: 0.0009989738464355469,	generate time: 2.9238228797912598
[73]: [Cumulative]: Semantic Similarity: 0.47646,	 retrieve time: 0.0007744093199033994,	 generate time: 2.0866827255970724
[74]: Semantic Similarity: 1.0,	retrieve time: 0.0009984970092773438,	generate time: 2.7754695415496826
[74]: [Cumulative]: Semantic Similarity: 0.48344,	 retrieve time: 0.0007773971557617187,	 generate time: 2.0958665498097737
[75]: Semantic Similarity: 0.55979,	retrieve time: 0.0010001659393310547,	generate time: 2.836677312850952
[75]: [Cumulative]: Semantic Similarity: 0.48445,	 retrieve time: 0.0007803283239665784,	 generate time: 2.105614059849789
[76]: Semantic Similarity: 0.28896,	retrieve time: 0.001001119613647461,	generate time: 2.8704497814178467
[76]: [Cumulative]: Semantic Similarity: 0.48191,	 retrieve time: 0.0007831957433130834,	 generate time: 2.115546991298725
[77]: Semantic Similarity: 0.42942,	retrieve time: 0.0,	generate time: 2.811267852783203
[77]: [Cumulative]: Semantic Similarity: 0.48123,	 retrieve time: 0.0007731547722449669,	 generate time: 2.124466489522885
[78]: Semantic Similarity: 0.98153,	retrieve time: 0.0009927749633789062,	generate time: 2.730271339416504
[78]: [Cumulative]: Semantic Similarity: 0.48757,	 retrieve time: 0.0007759347746643839,	 generate time: 2.1321349053443233
[79]: Semantic Similarity: 0.55203,	retrieve time: 0.0010004043579101562,	generate time: 2.779564380645752
[79]: [Cumulative]: Semantic Similarity: 0.48837,	 retrieve time: 0.0007787406444549561,	 generate time: 2.140227773785591

Final Results:
Prepare time: 0.23427081108093262
Average Semantic Similarity: 0.48837318043224515
Average retrieve time: 0.0007787406444549561
Average generate time: 2.140227773785591
